period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
200907	5830	5688	142	0.9756432247	0.0243567753	8199.876309882668	204.70858579524239
200908	5542	5383	159	0.9713099964	0.0286900036	8043.296033039823	237.57831492723977
200909	6854	6552	302	0.9559381383	0.0440618617	8099.8186441704665	373.3432891543775
200910	7142	6813	329	0.9539344721	0.0460655279	8112.404369958026	391.74828089185246
200911	7394	7072	322	0.9564511766	0.0435488234	8305.938534645466	378.18328735235286
200912	6985	6699	286	0.9590551181	0.0409448819	8220.116031373627	350.9409143115177
201001	6349	6101	248	0.9609387305	0.0390612695	8071.088016001947	328.08225339591587
201002	6737	6515	222	0.9670476473	0.0329523527	8195.525230644598	279.2642519114506
201003	7793	7539	254	0.9674066470	0.0325933530	8178.616914408209	275.5496347340078
201004	8098	7827	271	0.9665349469	0.0334650531	8685.67446309615	300.7305199308875
201005	7682	7445	237	0.9691486592	0.0308513408	8366.719672748319	266.34151275236417
201006	7656	7398	258	0.9663009404	0.0336990596	8719.871476779424	304.09932968492717
201007	6670	6532	138	0.9793103448	0.0206896552	8678.195966206586	183.3421683001391
201008	7244	7040	203	0.9718387631	0.0280231916	9190.252588348481	265.00302207879855
201009	8211	7875	336	0.9590792839	0.0409207161	8991.337488568157	383.63039951224135
201010	6935	6666	269	0.9612112473	0.0387887527	8395.191089460546	338.77983844357743
201011	6764	6507	257	0.9620047309	0.0379952691	8091.8141730481775	319.59370562062117
201012	6188	5958	230	0.9628312864	0.0371687136	7752.079191431337	299.25784055542255
201101	5912	5718	194	0.9671853857	0.0328146143	7711.219028019586	261.625829212277
201102	6246	6030	216	0.9654178674	0.0345821326	8132.098728803274	291.29905894220684
201103	7446	7197	249	0.9665592264	0.0334407736	8382.75786560565	290.02455308264655
201104	6402	6187	215	0.9664167448	0.0335832552	8397.54439351596	291.81704292968027
201105	6724	6440	284	0.9577632362	0.0422367638	7820.307784970681	344.870715983179
201106	5641	5492	149	0.9735862436	0.0264137564	7967.884723916857	216.17167222571226
201107	5312	5171	141	0.9734563253	0.0265436747	8106.908980310449	221.0547604377825
201108	5734	5554	180	0.9686083014	0.0313916986	8031.292251408079	260.2867492354077
201109	7422	7170	252	0.9660468876	0.0339531124	8354.832169250023	293.64263691087945
201110	7373	7112	261	0.9646005696	0.0353994304	8386.911135534936	307.78737434963705
201111	7443	7161	282	0.9621120516	0.0378879484	8310.220375764467	327.25626951062424
201112	7395	7136	259	0.9649763354	0.0350236646	8508.405866221534	308.81125551448673
201201	6963	6672	291	0.9582076691	0.0417923309	7781.874251350339	339.4072852432477
201202	7073	6814	259	0.9633818747	0.0366181253	8144.463223218533	309.57087977892576
201203	8209	7840	369	0.9550493361	0.0449506639	8021.724138636676	377.553087647568
201204	1109	1052	57	0.9486023445	0.0513976555	8197.040650153109	444.1362329455583
201205	5907	5646	261	0.9558151346	0.0441848654	8515.528849634402	393.6509085643959
201206	6993	6732	261	0.9626769627	0.0373230373	8371.478774719926	324.5626797685532
201207	6390	6218	172	0.9730829421	0.0269170579	8807.365439093484	243.62606232294615
201208	6788	6572	216	0.9681791397	0.0318208603	8620.655731253812	283.33256816050266
201209	8074	7715	359	0.9555362893	0.0444637107	8692.10567527465	404.46739305555394
201210	8559	8253	306	0.9642481598	0.0357518402	8289.407075877252	307.34988067592866
201211	8776	8431	345	0.9606882407	0.0393117593	8303.115416357266	339.7669100513885
201212	7471	7268	203	0.9728282693	0.0271717307	7979.517627839163	222.8731533367295
201301	8916	8608	308	0.9654553611	0.0345446389	8120.685767762349	290.563570686664
201302	8709	8422	287	0.9670455850	0.0329544150	8251.572031266227	281.1922551618864
201303	8887	8600	287	0.9677056374	0.0322943626	8057.066515768428	268.88117325878363
201304	10053	9715	338	0.9663781956	0.0336218044	8222.153010755237	286.0615252326577
201305	10405	10076	329	0.9683805863	0.0316194137	8397.177494964277	274.1833461535577
201306	8661	8403	258	0.9702112920	0.0297887080	8214.855171995781	252.22332909376547
201307	8647	8458	189	0.9781427085	0.0218572915	8401.383079427736	187.73485481341243
201308	8972	8727	244	0.9726928221	0.0271957200	8050.663739264398	225.09017444488518
201309	11136	10766	370	0.9667744253	0.0332255747	8285.509132453475	284.75184646180435
201310	12701	12349	352	0.9722856468	0.0277143532	8704.693161152074	248.1214667362159
201311	12113	11755	358	0.9704449765	0.0295550235	8665.76040481007	263.91682049527896
201312	10424	10165	259	0.9751534919	0.0248465081	8170.486258471907	208.18061396401612
201401	11679	11399	280	0.9760253446	0.0239746554	8250.883609629482	202.67105980316296
201402	11183	10935	248	0.9778234821	0.0221765179	8499.495160301178	192.76404204432484
201403	12353	12084	269	0.9782239132	0.0217760868	8482.732332730333	188.8327538484326
201404	12354	12106	248	0.9799255302	0.0200744698	8658.200616215567	177.369383183666
201405	12366	12108	258	0.9791363416	0.0208636584	8824.378255939037	188.03184588968216
201406	10017	9810	207	0.9793351303	0.0206648697	8662.014549712105	182.7764538012646
201407	8805	8681	124	0.9859170926	0.0140829074	8315.229676969468	118.77531159361985
201408	9937	9763	174	0.9824896850	0.0175103150	8653.538484447474	154.22674344913045
201409	13477	13218	259	0.9807820732	0.0192179268	8745.244632637534	171.35862913096696
201410	14432	14106	326	0.9774113082	0.0225886918	8818.702701688908	203.80668373391347
201411	12973	12696	277	0.9786479612	0.0213520388	8839.237413868608	192.85355731266574
